Altium Designer Pick and Place Locations
C:\Users\Marcelo\Desktop\EasyMx Pro - COMECA\COMECA - MCU Board\Project Outputs for COMECA - MCU Board\Pick Place for COMECA - MCU Board.csv

========================================================================================================================
File Design Information:

Date:       04/09/22
Time:       20:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"Y1","TopLayer","HC49S","25.5270mm","42.7990mm","180","","25.5270mm","42.7990mm","30.2768mm","42.7990mm"
"U2","TopLayer","MC_24-QFN-PUNCH","12.8270mm","36.1950mm","90","","12.8270mm","36.1950mm","11.5770mm","34.2950mm"
"U1","TopLayer","LQFP-100","27.9400mm","23.1140mm","0","","27.9400mm","23.1140mm","21.9400mm","15.3640mm"
"R11","TopLayer","0603-RES-PANASONIC","35.1790mm","10.2870mm","0","","35.1790mm","10.2870mm","34.1630mm","10.2870mm"
"R10","TopLayer","0603-RES-PANASONIC","17.6530mm","16.5100mm","90","","17.6530mm","16.5100mm","17.6530mm","15.4940mm"
"R9","TopLayer","0603-RES-PANASONIC","17.5260mm","21.7170mm","90","","17.5260mm","21.7170mm","17.5260mm","20.7010mm"
"R8","TopLayer","0603-RES-PANASONIC","15.8750mm","29.9720mm","0","","15.8750mm","29.9720mm","14.8590mm","29.9720mm"
"R7","TopLayer","0603-RES-PANASONIC","22.0980mm","34.4170mm","90","","22.0980mm","34.4170mm","22.0980mm","33.4010mm"
"R6","TopLayer","0603-RES-PANASONIC","42.5450mm","19.0500mm","0","","42.5450mm","19.0500mm","41.5290mm","19.0500mm"
"R5","TopLayer","0603-RES-PANASONIC","30.6070mm","33.9090mm","180","","30.6070mm","33.9090mm","31.6230mm","33.9090mm"
"R4","TopLayer","0603-RES-PANASONIC","38.2270mm","34.6710mm","90","","38.2270mm","34.6710mm","38.2270mm","33.6550mm"
"R3","TopLayer","0603-RES-PANASONIC","42.0370mm","40.0050mm","0","","42.0370mm","40.0050mm","41.0210mm","40.0050mm"
"R2","TopLayer","0603-RES-PANASONIC","44.8310mm","26.7970mm","0","","44.8310mm","26.7970mm","43.8150mm","26.7970mm"
"R1","TopLayer","0603-RES-PANASONIC","44.8310mm","24.2570mm","0","","44.8310mm","24.2570mm","43.8150mm","24.2570mm"
"J4","BottomLayer","SIP13*2","5.8420mm","26.2890mm","90","","4.5720mm","11.0490mm","4.5720mm","11.0490mm"
"J3","BottomLayer","SIP13*2","29.0830mm","4.8260mm","0","","13.8430mm","6.0960mm","13.8430mm","6.0960mm"
"J2","BottomLayer","SIP13*2","50.9270mm","29.9720mm","90","","49.6570mm","14.7320mm","49.6570mm","14.7320mm"
"J1","BottomLayer","SIP13*2","27.1780mm","49.7840mm","0","","11.9380mm","51.0540mm","11.9380mm","51.0540mm"
"E4","TopLayer","1206-CAP-TDK","6.2230mm","3.3020mm","180","","6.2230mm","3.3020mm","8.0010mm","3.3020mm"
"E3","TopLayer","1206-CAP-TDK","5.2070mm","48.8950mm","270","","5.2070mm","48.8950mm","5.2070mm","50.6730mm"
"E2","TopLayer","1206-CAP-TDK","51.0540mm","51.4350mm","180","","51.0540mm","51.4350mm","52.8320mm","51.4350mm"
"E1","TopLayer","1206-CAP-TDK","51.1810mm","5.7150mm","90","","51.1810mm","5.7150mm","51.1810mm","3.9370mm"
"C16","TopLayer","0603-CAP-TDK","20.5740mm","12.5730mm","0","","20.5740mm","12.5730mm","19.5580mm","12.5730mm"
"C15","TopLayer","0603-CAP-TDK","35.4330mm","12.8270mm","0","","35.4330mm","12.8270mm","34.4170mm","12.8270mm"
"C14","TopLayer","0603-CAP-TDK","15.4940mm","12.5730mm","0","","15.4940mm","12.5730mm","14.4780mm","12.5730mm"
"C11","TopLayer","0603-CAP-TDK","14.8590mm","26.6700mm","90","","14.8590mm","26.6700mm","14.8590mm","25.6540mm"
"C10","TopLayer","0603-CAP-TDK","17.6530mm","33.5280mm","90","","17.6530mm","33.5280mm","17.6530mm","32.5120mm"
"C9","TopLayer","0603-CAP-TDK","19.9390mm","34.4170mm","90","","19.9390mm","34.4170mm","19.9390mm","33.4010mm"
"C8","TopLayer","0603-CAP-TDK","24.8920mm","34.4170mm","90","","24.8920mm","34.4170mm","24.8920mm","33.4010mm"
"C7","TopLayer","0603-CAP-TDK","27.3050mm","34.5440mm","90","","27.3050mm","34.5440mm","27.3050mm","33.5280mm"
"C6","TopLayer","0603-CAP-TDK","29.8450mm","37.0840mm","90","","29.8450mm","37.0840mm","29.8450mm","36.0680mm"
"C5","TopLayer","0603-CAP-TDK","32.1310mm","37.0840mm","90","","32.1310mm","37.0840mm","32.1310mm","36.0680mm"
"C4","TopLayer","0603-CAP-TDK","40.7670mm","34.6710mm","90","","40.7670mm","34.6710mm","40.7670mm","33.6550mm"
"C3","TopLayer","0603-CAP-TDK","36.7030mm","39.8780mm","0","","36.7030mm","39.8780mm","35.6870mm","39.8780mm"
"C2","TopLayer","0603-CAP-TDK","40.5130mm","26.7970mm","0","","40.5130mm","26.7970mm","39.4970mm","26.7970mm"
"C1","TopLayer","0603-CAP-TDK","40.3860mm","24.2570mm","0","","40.3860mm","24.2570mm","39.3700mm","24.2570mm"
