Altium Designer Pick and Place Locations
C:\Users\Marcelo\Documents\GitHub\DisenioBJAM\Producto Final\COMECA - MCU Board\Project Outputs for COMECA - MCU Board\Pick Place for MCU_Board.csv

========================================================================================================================
File Design Information:

Date:       24/09/22
Time:       14:55
Revision:   93b571e90eea30f59fb3d69b423a9cf88bf87c8d
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"U2","TopLayer","MC_24-QFN-PUNCH","15.4940mm","37.0840mm","90","","15.4940mm","37.0840mm","14.2440mm","35.1840mm"
"F1","TopLayer","0603-IND-MURATA","10.9220mm","45.7200mm","180","","10.9220mm","45.7200mm","11.6470mm","45.7200mm"
"CE4","TopLayer","0805-CAP-TDK","7.8740mm","6.6040mm","270","","7.8740mm","6.6040mm","7.8740mm","7.8740mm"
"CE3","TopLayer","0805-CAP-TDK","48.5140mm","6.6040mm","270","","48.5140mm","6.6040mm","48.5140mm","7.8740mm"
"CE2","TopLayer","0805-CAP-TDK","48.5140mm","49.7840mm","90","","48.5140mm","49.7840mm","48.5140mm","48.5140mm"
"CE1","TopLayer","0805-CAP-TDK","7.8740mm","49.7840mm","90","","7.8740mm","49.7840mm","7.8740mm","48.5140mm"
"R1","TopLayer","0402-RES-PANASONIC","28.5750mm","42.2910mm","45","","28.5750mm","42.2910mm","28.2158mm","41.9318mm"
"Y1","TopLayer","HC49S","38.8620mm","38.4810mm","135","","38.8620mm","38.4810mm","42.2206mm","35.1224mm"
"J4","TopLayer","SIP13X2","28.1940mm","49.7840mm","0","","28.1940mm","49.7840mm","12.9540mm","48.5140mm"
"J3","TopLayer","SIP13X2","49.7840mm","28.1940mm","270","","49.7840mm","28.1940mm","48.5140mm","43.4340mm"
"J2","TopLayer","SIP13X2","28.1940mm","6.6040mm","0","","28.1940mm","6.6040mm","12.9540mm","5.3340mm"
"J1","TopLayer","SIP13X2","6.6040mm","28.1940mm","270","","6.6040mm","28.1940mm","5.3340mm","43.4340mm"
"U1","TopLayer","LQFP-100","28.1940mm","28.1940mm","135","","28.1940mm","28.1940mm","37.9167mm","29.4314mm"
"R11","TopLayer","0402-RES-PANASONIC","43.1800mm","28.1940mm","90","","43.1800mm","28.1940mm","43.1800mm","27.6860mm"
"R10","TopLayer","0402-RES-PANASONIC","16.0020mm","26.6700mm","315","","16.0020mm","26.6700mm","15.6428mm","27.0292mm"
"R9","TopLayer","0402-RES-PANASONIC","16.3830mm","43.8150mm","270","","16.3830mm","43.8150mm","16.3830mm","44.3230mm"
"R8","TopLayer","0402-RES-PANASONIC","14.7320mm","43.8150mm","270","","14.7320mm","43.8150mm","14.7320mm","44.3230mm"
"R7","TopLayer","0402-RES-PANASONIC","13.0810mm","43.8150mm","270","","13.0810mm","43.8150mm","13.0810mm","44.3230mm"
"R6","TopLayer","0402-RES-PANASONIC","23.1140mm","37.9730mm","135","","23.1140mm","37.9730mm","23.4732mm","37.6138mm"
"R5","TopLayer","0402-RES-PANASONIC","21.0820mm","37.0840mm","225","","21.0820mm","37.0840mm","21.4412mm","37.4432mm"
"R4","TopLayer","0402-RES-PANASONIC","22.2250mm","35.9410mm","225","","22.2250mm","35.9410mm","22.5842mm","36.3002mm"
"R3","TopLayer","0402-RES-PANASONIC","29.7180mm","41.1480mm","225","","29.7180mm","41.1480mm","30.0772mm","41.5072mm"
"R2","TopLayer","0402-RES-PANASONIC","10.9220mm","35.8140mm","0","","10.9220mm","35.8140mm","10.4140mm","35.8140mm"
"MCH1","TopLayer","EASYMX-PRO-V7-MCH-GUIDE","-48.2600mm","-48.2600mm","0","EasyMx Pro V7 mechanical centers for SIP connectors","28.1940mm","28.1940mm","-48.2600mm","-48.2600mm"
"C16","TopLayer","0603-CAP-TDK","24.8920mm","15.2400mm","135","","24.8920mm","15.2400mm","25.6104mm","14.5216mm"
"C15","TopLayer","0603-CAP-TDK","16.3830mm","30.4800mm","45","","16.3830mm","30.4800mm","15.6646mm","29.7616mm"
"C14","TopLayer","0402-CAP-TDK","10.9220mm","34.0360mm","0","","10.9220mm","34.0360mm","10.4140mm","34.0360mm"
"C13","TopLayer","0402-CAP-TDK","18.4150mm","33.4010mm","45","","18.4150mm","33.4010mm","18.0558mm","33.0418mm"
"C12","TopLayer","0603-CAP-TDK","15.1130mm","31.7500mm","45","","15.1130mm","31.7500mm","14.3946mm","31.0316mm"
"C11","TopLayer","0603-CAP-TDK","44.1960mm","38.4810mm","315","","44.1960mm","38.4810mm","43.4776mm","39.1994mm"
"C10","TopLayer","0603-CAP-TDK","38.8620mm","43.8150mm","135","","38.8620mm","43.8150mm","39.5804mm","43.0966mm"
