Altium Designer Pick and Place Locations
C:\Users\Marcelo\Documents\GitHub\DisenioBJAM\Producto Final\COMECA - v5\Project Outputs for COMECA\Pick Place for COMECA-PCBv1.csv

========================================================================================================================
File Design Information:

Date:       10/07/22
Time:       21:33
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation"
"U9","101.6000mm","63.5000mm","101.6000mm","63.5000mm","95.6000mm","55.7500mm","TopLayer","0"
"U5","84.8360mm","68.8340mm","84.8360mm","68.8340mm","82.9360mm","70.0840mm","TopLayer","0"
"RDET2","83.0580mm","121.4120mm","83.0580mm","117.6020mm","83.0580mm","117.6020mm","TopLayer","90"
"RCLASS2","72.3900mm","113.2840mm","68.5800mm","113.2840mm","68.5800mm","113.2840mm","TopLayer","0"
"TP6","87.1220mm","36.3220mm","87.1220mm","36.3220mm","87.1220mm","36.3220mm","TopLayer","0"
"TP5","128.2700mm","6.8580mm","128.2700mm","6.8580mm","128.2700mm","6.8580mm","TopLayer","0"
"TP3","118.1100mm","6.8580mm","118.1100mm","6.8580mm","118.1100mm","6.8580mm","TopLayer","0"
"TP2","123.1900mm","6.8580mm","123.1900mm","6.8580mm","123.1900mm","6.8580mm","TopLayer","0"
"TP1","92.2020mm","36.3220mm","92.2020mm","36.3220mm","92.2020mm","36.3220mm","TopLayer","0"
"SUJECION 12","107.6960mm","6.2620mm","107.6960mm","6.2620mm","107.6960mm","6.2620mm","TopLayer","90"
"SUJECION 6","32.5120mm","6.2620mm","32.5120mm","6.2620mm","32.5120mm","6.2620mm","TopLayer","90"
"C15","60.9600mm","119.6340mm","60.9600mm","123.4440mm","60.9600mm","123.4440mm","TopLayer","270"
"DZ1","65.2780mm","118.3640mm","65.2780mm","118.3640mm","65.2780mm","113.2840mm","TopLayer","90"
"R9","116.3320mm","19.5580mm","116.3320mm","23.3680mm","116.3320mm","23.3680mm","TopLayer","270"
"C5","72.3900mm","13.7160mm","72.3900mm","13.7160mm","73.4060mm","13.7160mm","TopLayer","180"
"U2","73.4060mm","22.6060mm","73.4060mm","22.6060mm","73.4060mm","20.0660mm","TopLayer","90"
"C13","61.7220mm","11.9380mm","61.7220mm","11.9380mm","64.2620mm","11.9380mm","TopLayer","180"
"C12","18.0340mm","8.8900mm","18.0340mm","8.8900mm","18.0340mm","11.4300mm","TopLayer","270"
"R1","28.1940mm","29.4640mm","28.1940mm","25.6540mm","28.1940mm","25.6540mm","TopLayer","90"
"C2","29.4640mm","40.6400mm","29.4640mm","40.6400mm","32.0040mm","40.6400mm","TopLayer","180"
"C1","15.2400mm","20.3200mm","15.2400mm","20.3200mm","12.7000mm","20.3200mm","TopLayer","0"
"U7","54.6100mm","62.4840mm","58.4200mm","53.5940mm","58.4200mm","53.5940mm","TopLayer","180"
"C14","51.8160mm","131.3180mm","51.8160mm","131.3180mm","51.8160mm","128.7780mm","TopLayer","90"
"J6A","18.2220mm","114.5600mm","10.9220mm","114.5600mm","26.1620mm","109.4850mm","TopLayer","270"
"U8","73.0580mm","121.5390mm","73.0580mm","121.5390mm","75.7580mm","123.4440mm","BottomLayer","180"
"U4","59.2760mm","83.2485mm","59.2760mm","83.2480mm","56.5760mm","81.0260mm","BottomLayer","0"
"R27","111.7600mm","19.5580mm","111.7600mm","23.3680mm","111.7600mm","23.3680mm","TopLayer","270"
"R26","116.3320mm","32.2580mm","116.3320mm","28.4480mm","116.3320mm","28.4480mm","TopLayer","90"
"DP2","41.6560mm","120.9491mm","41.6560mm","124.6260mm","41.6560mm","124.6260mm","TopLayer","0"
"DP1","51.8160mm","119.6791mm","51.8160mm","123.3560mm","51.8160mm","123.3560mm","TopLayer","0"
"RP4","85.8520mm","79.5020mm","82.0420mm","79.5020mm","82.0420mm","79.5020mm","TopLayer","0"
"RP3","85.8520mm","77.2160mm","82.0420mm","77.2160mm","82.0420mm","77.2160mm","TopLayer","0"
"RP2","85.8520mm","84.0740mm","82.0420mm","84.0740mm","82.0420mm","84.0740mm","TopLayer","0"
"RP1","85.8520mm","81.7880mm","82.0420mm","81.7880mm","82.0420mm","81.7880mm","TopLayer","0"
"D4","33.7820mm","24.2570mm","33.7820mm","24.2570mm","33.7820mm","16.2560mm","TopLayer","90"
"RL3","23.1140mm","20.8280mm","23.1140mm","24.6380mm","23.1140mm","24.6380mm","TopLayer","270"
"DL3","26.9240mm","20.8153mm","26.9240mm","20.8280mm","26.9240mm","22.0472mm","TopLayer","270"
"RL2","92.2020mm","21.3360mm","92.2020mm","25.1460mm","92.2020mm","25.1460mm","TopLayer","270"
"DL2","92.2020mm","30.2387mm","92.2020mm","30.2260mm","92.2020mm","29.0068mm","TopLayer","90"
"RL1","87.1220mm","21.3360mm","87.1220mm","25.1460mm","87.1220mm","25.1460mm","TopLayer","270"
"DL1","87.1220mm","30.2387mm","87.1220mm","30.2260mm","87.1220mm","29.0068mm","TopLayer","90"
"DI4","35.0520mm","94.9960mm","35.0520mm","94.9960mm","29.9720mm","94.9960mm","TopLayer","0"
"DI3","35.0520mm","89.9160mm","35.0520mm","89.9160mm","29.9720mm","89.9160mm","TopLayer","0"
"DI2","35.0520mm","84.8360mm","35.0520mm","84.8360mm","29.9720mm","84.8360mm","TopLayer","0"
"DI1","35.0520mm","79.7560mm","35.0520mm","79.7560mm","29.9720mm","79.7560mm","TopLayer","0"
"RF4","46.4820mm","94.9960mm","42.6720mm","94.9960mm","42.6720mm","94.9960mm","TopLayer","0"
"RF3","46.4820mm","89.9160mm","42.6720mm","89.9160mm","42.6720mm","89.9160mm","TopLayer","0"
"RF2","46.4820mm","84.8360mm","42.6720mm","84.8360mm","42.6720mm","84.8360mm","TopLayer","0"
"RF1","46.4820mm","79.7560mm","42.6720mm","79.7560mm","42.6720mm","79.7560mm","TopLayer","0"
"RA4","38.8620mm","92.4560mm","42.6720mm","92.4560mm","42.6720mm","92.4560mm","TopLayer","180"
"RA3","38.8620mm","87.3760mm","42.6720mm","87.3760mm","42.6720mm","87.3760mm","TopLayer","180"
"RA2","38.8620mm","82.2960mm","42.6720mm","82.2960mm","42.6720mm","82.2960mm","TopLayer","180"
"RA1","38.8620mm","77.2160mm","42.6720mm","77.2160mm","42.6720mm","77.2160mm","TopLayer","180"
"J3","16.8720mm","87.3080mm","14.1220mm","81.0080mm","14.1220mm","81.0080mm","TopLayer","270"
"C17","49.0220mm","92.4560mm","49.0220mm","92.4560mm","50.2920mm","92.4560mm","TopLayer","180"
"C11","49.0220mm","87.3760mm","49.0220mm","87.3760mm","50.2920mm","87.3760mm","TopLayer","180"
"C10","49.0220mm","82.2960mm","49.0220mm","82.2960mm","50.2920mm","82.2960mm","TopLayer","180"
"C9","49.0220mm","77.2160mm","49.0220mm","77.2160mm","50.2920mm","77.2160mm","TopLayer","180"
"SUJECION 2","32.5120mm","133.7700mm","32.5120mm","133.7700mm","32.5120mm","133.7700mm","TopLayer","90"
